id,source,destination,distance_meters,road_type,speed_limit_kmh,capacity
1,206291068,3890222330,2114.29,motorway,80.0,500
2,206291068,3890222330,2115.55,motorway,80.0,500
3,245653028,245653078,755.61,secondary,40.0,200
4,245653028,4307040267,159.73,secondary,40.0,200
5,245653028,459482449,760.81,tertiary,30.0,100
6,245653078,245653028,755.61,secondary,40.0,200
7,245653078,486004376,94.58,secondary,40.0,200
8,245653413,4244274459,13.93,tertiary,30.0,100
9,245653413,12414405105,831.46,secondary,40.0,200
10,245653413,2176726928,349.83,tertiary,30.0,100
11,245653464,10886066851,17.43,tertiary,30.0,100
12,245653464,4048579846,592.32,secondary,40.0,200
13,245653464,4307040346,396.02,secondary,40.0,200
14,245653559,10886066849,5.61,tertiary,30.0,100
15,245653559,10886066851,619.74,tertiary,30.0,100
16,245653613,7461994658,9.45,secondary,40.0,200
17,245653613,7461994655,24.76,tertiary,30.0,100
18,245653633,4307040346,9.04,tertiary,30.0,100
19,245653633,245653464,397.76,secondary,40.0,200
20,245653649,10886054725,12.21,tertiary,30.0,100
21,245653649,4307040343,127.77,tertiary,30.0,100
22,245653649,245653820,516.09,tertiary,30.0,100
23,245653665,4328236683,19.85,tertiary,30.0,100
24,245653671,485977586,343.71,tertiary,30.0,100
25,245653671,245653745,332.31,tertiary,30.0,100
26,245653671,12350793007,199.73,tertiary,30.0,100
27,245653671,10886054725,190.49,tertiary,30.0,100
28,245653718,245653665,165.61,tertiary,30.0,100
29,245653718,2176742012,279.7,secondary,40.0,200
30,245653745,13700547679,40.47,tertiary,30.0,100
31,245653745,485984666,32.95,secondary_link,35.0,150
32,245653748,245653753,23.4,primary,50.0,300
33,245653748,245653718,96.75,secondary,40.0,200
34,245653753,245653771,41.0,primary,50.0,300
35,245653757,12350777518,564.26,tertiary,30.0,100
36,245653757,245653748,31.72,primary,50.0,300
37,245653771,485977586,243.04,primary,50.0,300
38,245653771,13830528568,9.35,primary,50.0,300
39,245653777,245653757,9.17,primary,50.0,300
40,245653781,245653783,27.7,primary,50.0,300
41,245653781,4361337156,53.74,primary,50.0,300
42,245653783,485973491,38.53,primary,50.0,300
43,245653783,245653777,39.44,primary,50.0,300
44,245653788,2176684445,9.47,tertiary,30.0,100
45,245653788,2176684445,464.68,tertiary,30.0,100
46,245653788,4244274463,250.65,tertiary,30.0,100
47,245653820,2168581047,17.49,secondary,40.0,200
48,245653820,245653830,102.78,primary,50.0,300
49,245653830,4244306276,22.5,secondary,40.0,200
50,245653830,11052629982,15.45,secondary,40.0,200
51,245653830,4244306274,17.31,primary,50.0,300
52,245653840,528622444,104.91,tertiary,30.0,100
53,245653840,2176684837,12.95,tertiary,30.0,100
54,245653855,9313067505,12.96,tertiary,30.0,100
55,245653869,2176684763,228.74,tertiary,30.0,100
56,245653870,528644374,177.96,primary,50.0,300
57,245653871,245653869,9.23,tertiary,30.0,100
58,245653871,2176701305,9.27,tertiary,30.0,100
59,245653871,2176701319,121.21,tertiary,30.0,100
60,245653901,7353554810,33.92,tertiary,30.0,100
61,245653901,245653917,261.22,tertiary,30.0,100
62,245653917,245653956,130.19,primary,50.0,300
63,245653917,495097987,159.56,primary,50.0,300
64,245653923,10886054717,6.76,tertiary,30.0,100
65,245653923,245653961,125.76,secondary,40.0,200
66,245653923,4307040348,307.71,tertiary,30.0,100
67,245653928,486404313,16.98,primary,50.0,300
68,245653928,245654001,244.9,primary,50.0,300
69,245653956,536839590,66.66,tertiary,30.0,100
70,245653956,495098003,71.47,primary,50.0,300
71,245653956,245653917,130.19,primary,50.0,300
